"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.758566420E0,2.197877169E0,1.235408068E0,9.514557838E0,9.842952200E0
2.768430015E0,2.217030764E0,1.201889277E0,9.308655739E0,9.644212508E0
2.778174026E0,2.197877169E0,1.455674648E0,9.255983353E0,9.624078166E0
2.788064496E0,2.178723574E0,1.268926859E0,9.428366661E0,9.759667498E0
2.797904237E0,2.207453966E0,1.283292055E0,9.370905876E0,9.712546960E0
2.807780592E0,2.240972757E0,1.211466074E0,9.251194954E0,9.595531096E0
2.817791895E0,2.197877169E0,1.149216771E0,9.260771751E0,9.587140171E0
2.827524292E0,2.111685991E0,1.144428372E0,9.366117477E0,9.669182521E0
2.837697782E0,2.260126352E0,1.086967587E0,9.270348549E0,9.603594738E0
2.848242471E0,2.226607561E0,1.168370485E0,9.342175484E0,9.674663487E0
2.857189815E0,2.193088770E0,1.158793569E0,9.399636269E0,9.721399224E0
2.867145494E0,2.102109194E0,1.197100878E0,9.433155060E0,9.738394527E0
2.877090495E0,2.145204782E0,1.120486379E0,9.303867340E0,9.613497842E0
2.886745183E0,2.111685991E0,1.072602391E0,9.380482674E0,9.674872030E0
2.896743413E0,2.236184359E0,1.034295082E0,9.414001465E0,9.731069334E0
2.906638206E0,2.217030764E0,1.106121182E0,9.212887764E0,9.540232200E0
2.916491644E0,2.169146776E0,1.182735682E0,9.289502144E0,9.612435254E0
2.926358937E0,2.173935175E0,1.168370485E0,9.236829758E0,9.560863335E0
2.936217948E0,2.207453966E0,1.163581967E0,9.394847870E0,9.720593732E0
2.945974043E0,2.159569979E0,1.168370485E0,9.370905876E0,9.687244656E0
2.955837482E0,2.044648170E0,1.144428372E0,9.337387085E0,9.626894619E0
2.965825347E0,2.226607561E0,1.106121182E0,9.548076630E0,9.866460998E0
2.975590556E0,2.250549555E0,1.101332784E0,9.299078941E0,9.630720448E0
2.985631651E0,2.260126352E0,1.206677675E0,9.399636269E0,9.742556344E0
2.995539100E0,2.322375536E0,1.288080573E0,9.198522568E0,9.574204778E0
3.005387799E0,2.255337954E0,1.312022567E0,9.212887764E0,9.575241692E0
3.015149675E0,2.236184359E0,1.225831270E0,9.346963882E0,9.688597247E0
3.025143113E0,2.226607561E0,1.177947283E0,9.303867340E0,9.638842696E0
3.035019469E0,2.217030764E0,1.211466074E0,9.437943459E0,9.770243200E0
3.044890615E0,2.145204782E0,1.158793569E0,9.299078941E0,9.613406017E0
3.054539887E0,2.207453966E0,1.192312479E0,9.294290543E0,9.626956879E0
3.064412440E0,2.236184359E0,1.120486379E0,9.236829758E0,9.569484531E0
3.074295202E0,2.264914751E0,1.163581967E0,9.318233490E0,9.659877701E0
3.084153536E0,2.236184359E0,1.177947283E0,9.332598686E0,9.668788886E0
3.094221818E0,2.197877169E0,1.187524080E0,9.318233490E0,9.647297697E0
3.104088746E0,2.063801765E0,1.144428372E0,9.452308655E0,9.742439783E0
3.113975726E0,2.135627985E0,1.244984865E0,9.495404243E0,9.811910923E0
3.123764842E0,2.193088770E0,1.177947283E0,9.380482674E0,9.705186930E0
3.133703176E0,2.130839586E0,1.058237195E0,9.428366661E0,9.723910798E0
3.143374167E0,2.173935175E0,1.015141487E0,9.327810287E0,9.631435570E0
